"channel","pitch","tick_on","tick_off","dur_ticks","velocity","nota_nombre","clase_pitch","fuera_escala_mayor","fuera_escala_menor","duracion_muy_corta","velocidad_anomala","intervalo_disonante"
0,81,240840,240960,120,53,"A5",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,73,241440,241560,120,58,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,79,241440,241560,120,64,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,69,241681,241800,119,48,"A4",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,241681,241800,119,55,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,81,242040,242161,121,49,"A5",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,80,242161,242280,119,51,"G#5",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,81,242280,242401,121,47,"A5",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,62,242641,242760,119,49,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,80,242641,242760,119,51,"G#5",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,81,242760,242880,120,53,"A5",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,61,243361,243481,120,54,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,79,243361,243481,120,62,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,57,243602,243720,118,47,"A3",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,243602,243720,118,55,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,69,243960,244080,120,35,"A4",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,68,244080,244200,120,42,"G#4",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,69,244200,244320,120,38,"A4",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,69,244440,244561,121,39,"A4",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,68,244561,244680,119,44,"G#4",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,86,244561,244680,119,57,"D6",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,67,245280,245400,120,49,"G4",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,85,245280,245400,120,63,"C#6",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,69,245881,246000,119,38,"A4",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,68,246000,246120,120,41,"G#4",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,69,246120,246240,120,37,"A4",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,50,246481,246600,119,57,"D3",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,68,246481,246600,119,44,"G#4",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,69,246600,246721,121,40,"A4",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,49,247200,247321,121,60,"C#3",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,67,247200,247321,121,49,"G4",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,45,247440,247560,120,58,"A2",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,67,247440,247560,120,47,"G4",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,74,248520,248640,120,29,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,64,248640,248760,120,35,"E4",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,74,248760,248881,121,30,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,64,248881,249000,119,30,"E4",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,74,249000,249120,120,30,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,74,249720,249840,120,30,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,73,249840,249960,120,30,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,74,249960,250080,120,30,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,85,249960,250000,40,45,"C#6",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,74,250201,250321,120,30,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,73,250321,250441,120,30,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,85,250321,250441,120,47,"C#6",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,74,250441,250561,120,30,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,74,250680,250800,120,32,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,73,250800,250920,120,32,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,86,250800,250920,120,45,"D6",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,67,251040,251160,120,34,"G4",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,85,251040,251280,240,47,"C#6",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,74,251160,251280,120,30,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,73,251280,251400,120,30,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,83,251280,251400,120,45,"B5",11,FALSE,FALSE,FALSE,FALSE,TRUE
